Articulo,Descripcion,Rubro,CON EL 20%,Stock,img
1-051,"CAJAS PVC 3/4 A 1""  RECTANGULAR NEGRAS",ELECTRICIDAD,$258.56,20,
M-050-COB,CAJAS PVC CAÑO 3/4 OCTOGONAL BLANCA,ELECTRICIDAD,$242.10,20,
M-051-COF,CAJAS PVC CAÑO 3/4 OCTOGONAL NEGRA,ELECTRICIDAD,$206.86,20,
M-051-CON,CAJAS PVC CAÑO 3/4 OCTOGONAL NEGRA,ELECTRICIDAD,$219.80,20,
M-050-CRB,CAJAS PVC CAÑO 3/4 RECTANGULAR BLANCA,ELECTRICIDAD,$242.10,20,
M-051-CRO,CAJAS PVC CAÑO 3/4 RECTANGULAR NEGRA,ELECTRICIDAD,$206.86,20,
M-051-CRN,CAJAS PVC CAÑO 3/4 RECTANGULAR NEGRA,ELECTRICIDAD,$219.80,20,
1-058,CALENTADOR INMERSION CORTO,FERRETERIA,"$3,212.22",20,
1-057,CALENTADOR INMERSION LARGO,FERRETERIA,"$3,212.22",20,
2-022-C,CANDADO BRONCE CANDEAL 20MM,FERRETERIA,"$1,398.36",20,
2-022-322,CANDADO BRONCE CANDELA 32MM,FERRETERIA,"$1,728.15",20,
2-023-C,CANDADO BRONCE CANDELA 38MM,FERRETERIA,"$1,958.56",20,
2-023-C,CANDADO BRONCE CANDELA 50MM,FERRETERIA,"$2,884.14",20,
2-022,CANDADO BRONCEADO 32 MM,FERRETERIA,"$1,578.55",20,
2-023,CANDADO BRONCEADO 38 MM,FERRETERIA,"$1,852.18",20,
2-023,CANDADO BRONCEADO 50 MM,FERRETERIA,"$3,030.85",20,
2-024,CANDADO BRONCEADO 63 MM,FERRETERIA,"$4,314.74",20,
2-024-63,CANDADO BRONCEADO 75 MM,FERRETERIA,"$6,173.38",20,
1-162,CANDELA FOCO LUZ CALIDA 07W,ELECTRICIDAD,$707.85,20,
1-163,CANDELA FOCO LUZ CALIDA 10W,ELECTRICIDAD,$733.00,20,
1-164,CANDELA FOCO LUZ CALIDA 12W,ELECTRICIDAD,$833.86,20,
1-165,CANDELA FOCO LUZ CALIDA 15W,ELECTRICIDAD,"$1,019.28",20,
1-166,CANDELA FOCO LUZ FRIA 07 W,ELECTRICIDAD,$707.85,20,
1-167,CANDELA FOCO LUZ FRIA 10 W,ELECTRICIDAD,$733.00,20,
1-168,CANDELA FOCO LUZ FRIA 12 W,ELECTRICIDAD,$833.86,20,
1-169,CANDELA FOCO LUZ FRIA 15 W,ELECTRICIDAD,"$1,019.28",20,
1-123,CANDELA HIGH POWER  GALPONERA 20W,ELECTRICIDAD,"$1,891.57",20,
1-124,CANDELA HIGH POWER  GALPONERA 30W,ELECTRICIDAD,"$2,333.27",20,
1-125,CANDELA HIGH POWER  GALPONERA 40W,ELECTRICIDAD,"$3,307.92",20,
11-002-100,CANDELA HIGH POWER GALPONERA 100 W,ILUMINACION,"$12,717.39",20,
1-126,CANDELA HIGH POWER GALPONERA 50W,ELECTRICIDAD,"$4,722.39",20,
11-001-70,CANDELA HIGH POWER GALPONERA 70 W,ILUMINACION,"$8,606.41",20,
1-242,CANDELA REFLECTOR GRANDES SUPERFICIES LED LUZ FRIA 100W,ELECTRICIDAD,"$13,656.35",20,
1-243,CANDELA REFLECTOR GRANDES SUPERFICIES LED LUZ FRIA 150W,ELECTRICIDAD,"$20,967.82",20,
1-244,CANDELA REFLECTOR GRANDES SUPERFICIES LED LUZ FRIA 200W,ELECTRICIDAD,"$28,998.05",20,
1-245,CANDELA REFLECTOR LED LUZ CALIDA 10W,ELECTRICIDAD,"$3,937.58",20,
1-246,CANDELA REFLECTOR LED LUZ CALIDA 20W,ELECTRICIDAD,"$4,599.59",20,
1-247,CANDELA REFLECTOR LED LUZ CALIDA 30W,ELECTRICIDAD,"$5,131.40",20,
1-248,CANDELA REFLECTOR LED LUZ CALIDA 50W,ELECTRICIDAD,"$6,967.84",20,
1-249,CANDELA REFLECTOR LED LUZ FRIA 10W,ELECTRICIDAD,"$3,937.58",20,
1-250,CANDELA REFLECTOR LED LUZ FRIA 20W,ELECTRICIDAD,"$4,599.59",20,
1-251,CANDELA REFLECTOR LED LUZ FRIA 30W,ELECTRICIDAD,"$5,131.40",20,
1-252,CANDELA REFLECTOR LED LUZ FRIA 50W,ELECTRICIDAD,"$6,967.84",20,
1-052,CAÑO RIGIDO PVC  SEMIPESADO 20 X 3MTS,ELECTRICIDAD,"$1,962.08",20,
1-053,CAÑO RIGIDO PVC  SEMIPESADO 22 X 3MTS,ELECTRICIDAD,"$2,622.05",20,
1-054,CAÑO RIGIDO PVC  SEMIPESADO 25 X 3MTS,ELECTRICIDAD,"$2,755.82",20,
5-CAT,CATALIZADOR X 1 LT,PINTURA,"$6,998.08",20,
GOMA 4 B,CAUCHO GOMA X 4 LTS BLANCA,PINTURA,"$26,754.49",20,
2-001,CEMENTO BLANCO 1 KG,FERRETERIA,"$1,487.29",20,
4-009,CEMENTO DE CONTACTO FANA 100 GRS,PEGAMENTO,"$2,952.02",20,
4-010,CEMENTO DE CONTACTO FANA 200 GRS,PEGAMENTO,"$4,375.66",20,
4-011,CEMENTO DE CONTACTO FANA 40 GRS,PEGAMENTO,"$2,237.57",20,
4-012,CEMENTO DE CONTACTO FANA 400 GRS,PEGAMENTO,"$7,537.04",20,
4-013,CEMENTO DE CONTACTO FANA 750 GRS,PEGAMENTO,"$12,436.13",20,
2-002,"CEPILLO CIRCULAR RIZADO P/AMOLADORA DE 4""",FERRETERIA,"$3,067.01",20,
Y-002-CC5,"CEPILLO CIRCULAR RIZADO P/AMOLADORA DE 5""",FERRETERIA,$879.47,20,
2-002-1,"CEPILLO CIRCULAR TRENZADO P/AMOLADORA DE 4""",FERRETERIA,"$3,067.01",20,
2-016,"CEPILLO COPA BRONCEADO 3""",FERRETERIA,"$2,056.69",20,
2-025,"CEPILLO COPA BRONCEADO 4""",FERRETERIA,"$3,427.65",20,
2-018-T,CEPILLO COPA TRENZADO 3¨,FERRETERIA,"$2,254.53",20,
2-017,"CEPILLO COPA TRENZADO 4""",FERRETERIA,"$3,136.76",20,
2-003,"CEPILLO DE BRONCE CON MANGO 9""",FERRETERIA,"$1,136.53",20,
2-028,CEPILLO DE METAL MANGO DE MADERA,FERRETERIA,"$1,808.82",20,
10-040-CER,CERA ABRILLANTADORA X 410 CM3,FERRETERIA,"$4,035.89",20,
GOMA 4 G,CHAUCHO GOMA X 4 L GRIS,PINTURA,"$23,384.57",20,
2-029,CHOCLA CON TIZA Y NIVEL,FERRETERIA,"$3,230.45",20,
2-800-ANT,CINTA ANTIDESLIZANTE X 5 MT,FERRETERIA,"$2,050.75",20,
5-062,CINTA DE ENMASCARAR 12 MM X 40 M,PINTURA,"$1,167.89",20,
5-063,CINTA DE ENMASCARAR 18 MM X 40 M,PINTURA,"$1,748.97",20,
5-064,CINTA DE ENMASCARAR 24 MM X 40 M,PINTURA,"$2,335.80",20,
5-065,CINTA DE ENMASCARAR 36 MM X 40 M,PINTURA,"$3,498.92",20,
5-066,CINTA DE ENMASCARAR 48 MM X 40 M,PINTURA,"$4,666.81",20,
5-067,CINTA DE ENMASCARAR CANDELA 18 MM,PINTURA,"$1,748.97",20,
5-068,CINTA DE ENMASCARAR CANDELA 24 MM,PINTURA,"$233,580.24",20,
5-092,CINTA DE ENMASCARAR GFP 18 MM,PINTURA,"$1,618.24",20,
5-063,CINTA DE ENMASCARAR GFP 24 MM,PINTURA,"$2,194.38",20,
5-064,CINTA DE ENMASCARAR GFP 36MM,PINTURA,"$3,427.13",20,
5-065,CINTA DE ENMASCARAR GFP 48MM,PINTURA,"$4,305.61",20,
5-063-P,CINTA DE PAPEL AZUL CANDELA 24 MM,FERRETERIA,"$2,260.00",20,
5-063-P,CINTA DE PAPEL AZUL CANDELA 24 MM,FERRETERIA,"$2,685.80",20,
5-065-C,CINTA DE PAPEL AZUL CANDELA 36 MM,FERRETERIA,"$5,125.90",20,
5-065-C,CINTA DE PAPEL AZUL CANDELA 36 MM,FERRETERIA,"$3,330.52",20,
2-007,CINTA DOBLE FAZ BLANCA,FERRETERIA,"$5,819.15",20,
SG-041-CE12,CINTA ENMASC TEK BOND 12,FERRETERIA,"$1,228.17",20,
SG-041-CE18,CINTA ENMASC TEK BOND 18,FERRETERIA,"$1,841.73",20,
SG-041-CE24,CINTA ENMASC TEK BOND 24,FERRETERIA,"$2,459.36",20,
SG-041-CE36,CINTA ENMASC TEK BOND 36,FERRETERIA,"$3,683.45",20,
SG-041-CE48,CINTA ENMASC TEK BOND 48,FERRETERIA,"$4,918.73",20,
5-091-GFP,CINTA ENMASCARAR GFP 12 MM,PINTURA,"$1,135.32",20,
MP-050-C28,CINTA MICROPERFORADA X25,PINTURA,"$2,221.08",20,
MP-050-C29,CINTA MICROPERFORADA X75,PINTURA,"$5,502.21",20,
2-008,CINTA MULTIPROPOSITO 9 MTS AMARILLO,FERRETERIA,"$3,884.46",20,
2-008,CINTA MULTIPROPOSITO 9 MTS AMARILLO,FERRETERIA,"$3,505.49",20,
2-009,CINTA MULTIPROPOSITO 9 MTS AZUL,FERRETERIA,"$3,505.49",20,
2-009,CINTA MULTIPROPOSITO 9 MTS AZUL,FERRETERIA,"$3,884.46",20,
2-010,CINTA MULTIPROPOSITO 9 MTS BCO,FERRETERIA,"$3,884.46",20,
2-010,CINTA MULTIPROPOSITO 9 MTS BCO,FERRETERIA,"$3,505.49",20,
2-011,CINTA MULTIPROPOSITO 9 MTS GRIS,FERRETERIA,"$3,505.49",20,
2-011,CINTA MULTIPROPOSITO 9 MTS GRIS,FERRETERIA,"$3,884.46",20,
