
Articulo,Descripcion,Rubro,CON EL 20%
M-050-COB,CAJAS PVC CA O 3/4 OCTOGONAL BLANCA,ELECTRICIDAD,$ 242.10
M-051-COF,CAJAS PVC CA O 3/4 OCTOGONAL NEGRA,ELECTRICIDAD,$ 206.86
M-051-CON,CAJAS PVC CA O 3/4 OCTOGONAL NEGRA,ELECTRICIDAD,$ 219.80
M-050-CRB,CAJAS PVC CA O 3/4 RECTANGULAR BLANCA,ELECTRICIDAD,$ 242.10
M-051-CRO,CAJAS PVC CA O 3/4 RECTANGULAR NEGRA,ELECTRICIDAD,$ 206.86
M-051-CRN,CAJAS PVC CA O 3/4 RECTANGULAR NEGRA,ELECTRICIDAD,$ 219.80
1-058,CALENTADOR INMERSION CORTO,FERRETERIA,"$ 3,212.22"
1-057,CALENTADOR INMERSION LARGO,FERRETERIA,"$ 3,212.22"
2-022-C,CANDADO BRONCE CANDEAL 20MM,FERRETERIA,"$ 1,398.36"
2-022-322,CANDADO BRONCE CANDELA 32MM,FERRETERIA,"$ 1,728.15"
2-023-C,CANDADO BRONCE CANDELA 38MM,FERRETERIA,"$ 1,958.56"
2-023-C,CANDADO BRONCE CANDELA 50MM,FERRETERIA,"$ 2,884.14"
2-022,CANDADO BRONCEADO 32 MM,FERRETERIA,"$ 1,578.55"
2-023,CANDADO BRONCEADO 38 MM,FERRETERIA,"$ 1,852.18"
2-023,CANDADO BRONCEADO 50 MM,FERRETERIA,"$ 3,030.85"
2-024,CANDADO BRONCEADO 63 MM,FERRETERIA,"$ 4,314.74"
2-024-63,CANDADO BRONCEADO 75 MM,FERRETERIA,"$ 6,173.38"
1-162,CANDELA FOCO LUZ CALIDA 07W,ELECTRICIDAD,$ 707.85
1-163,CANDELA FOCO LUZ CALIDA 10W,ELECTRICIDAD,$ 733.00
1-164,CANDELA FOCO LUZ CALIDA 12W,ELECTRICIDAD,$ 833.86
1-165,CANDELA FOCO LUZ CALIDA 15W,ELECTRICIDAD,"$ 1,019.28"
1-166,CANDELA FOCO LUZ FRIA 07 W,ELECTRICIDAD,$ 707.85
1-167,CANDELA FOCO LUZ FRIA 10 W,ELECTRICIDAD,$ 733.00
1-168,CANDELA FOCO LUZ FRIA 12 W,ELECTRICIDAD,$ 833.86
1-169,CANDELA FOCO LUZ FRIA 15 W,ELECTRICIDAD,"$ 1,019.28"
1-123,CANDELA HIGH POWER  GALPONERA 20W,ELECTRICIDAD,"$ 1,891.57"
1-124,CANDELA HIGH POWER  GALPONERA 30W,ELECTRICIDAD,"$ 2,333.27"
1-125,CANDELA HIGH POWER  GALPONERA 40W,ELECTRICIDAD,"$ 3,307.92"
11-002-100,CANDELA HIGH POWER GALPONERA 100 W,ILUMINACION,"$ 12,717.39"
1-126,CANDELA HIGH POWER GALPONERA 50W,ELECTRICIDAD,"$ 4,722.39"
11-001-70,CANDELA HIGH POWER GALPONERA 70 W,ILUMINACION,"$ 8,606.41"
1-242,CANDELA REFLECTOR GRANDES SUPERFICIES LED LUZ FRIA 100W,ELECTRICIDAD,"$ 13,656.35"
1-243,CANDELA REFLECTOR GRANDES SUPERFICIES LED LUZ FRIA 150W,ELECTRICIDAD,"$ 20,967.82"
